survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town
0,3,male,29.69911764705882,1,0,7.25,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,C,Cherbourg
1,3,female,29.69911764705882,0,0,7.925,S,Third,woman,False,A,Southampton
1,1,female,29.69911764705882,1,0,53.1,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,A,Queenstown
0,1,male,29.69911764705882,0,0,51.8625,S,First,man,True,E,Southampton
0,3,male,29.69911764705882,3,1,21.075,S,Third,child,False,A,Southampton
1,3,female,29.69911764705882,0,2,11.1333,S,Third,woman,False,A,Southampton
1,2,female,29.69911764705882,1,0,30.0708,C,Second,child,False,A,Cherbourg
1,3,female,29.69911764705882,1,1,16.7,S,Third,child,False,G,Southampton
1,1,female,29.69911764705882,0,0,26.55,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,1,5,31.275,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,0,0,7.8542,S,Third,child,False,A,Southampton
1,2,female,29.69911764705882,0,0,16.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,4,1,29.125,Q,Third,child,False,A,Queenstown
1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,1,0,18.0,S,Third,woman,False,A,Southampton
1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,A,Cherbourg
0,2,male,29.69911764705882,0,0,26.0,S,Second,man,True,A,Southampton
1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,D,Southampton
1,3,female,29.69911764705882,0,0,8.0292,Q,Third,child,False,A,Queenstown
1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,A,Southampton
0,3,female,29.69911764705882,3,1,21.075,S,Third,child,False,A,Southampton
1,3,female,29.69911764705882,1,5,31.3875,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,A,Cherbourg
0,1,male,29.69911764705882,3,2,249.00622000000035,S,First,man,True,C,Southampton
1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,A,Queenstown
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,A,Cherbourg
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,B,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,1,male,29.69911764705882,1,0,249.00622000000035,C,First,man,True,A,Cherbourg
0,1,male,29.69911764705882,1,0,52.0,S,First,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,2,0,18.0,S,Third,woman,False,A,Southampton
1,3,female,29.69911764705882,1,0,11.2417,C,Third,child,False,A,Cherbourg
0,3,female,29.69911764705882,1,0,9.475,S,Third,woman,False,A,Southampton
0,2,female,29.69911764705882,1,0,21.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,True,A,Cherbourg
1,2,female,29.69911764705882,1,2,41.5792,C,Second,child,False,A,Cherbourg
1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,A,Queenstown
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,True,A,Queenstown
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,True,A,Cherbourg
0,3,female,29.69911764705882,1,0,17.8,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,4,1,39.6875,S,Third,child,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,D,Cherbourg
1,2,female,29.69911764705882,1,0,26.0,S,Second,woman,False,A,Southampton
0,1,male,29.69911764705882,0,1,61.9792,C,First,man,True,B,Cherbourg
1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,C,Southampton
1,2,female,29.69911764705882,0,0,10.5,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,A,Cherbourg
1,2,female,29.69911764705882,1,2,27.75,S,Second,child,False,A,Southampton
0,3,male,29.69911764705882,5,2,46.9,S,Third,child,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,A,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,,First,woman,False,B,A
0,1,male,29.69911764705882,1,0,249.00622000000035,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,3,2,27.9,S,Third,child,False,A,Southampton
0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,A,Cherbourg
1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,True,A,Cherbourg
1,2,female,29.69911764705882,0,0,10.5,S,Second,woman,False,F,Southampton
0,3,male,29.69911764705882,0,0,8.1583,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,4,2,7.925,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,2,0,8.6625,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,5,2,46.9,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,249.00622000000035,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,1,0,14.4542,C,Third,man,True,A,Cherbourg
1,3,male,29.69911764705882,0,0,56.4958,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.65,S,Third,man,True,F,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
1,2,male,29.69911764705882,0,2,29.0,S,Second,child,False,A,Southampton
1,3,female,29.69911764705882,0,0,12.475,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,9.0,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,False,A,Queenstown
0,1,male,29.69911764705882,0,0,47.1,S,First,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,10.5,S,Second,woman,False,A,Southampton
1,3,female,29.69911764705882,3,0,15.85,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,1,3,34.375,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,3,2,249.00622000000035,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8542,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,1,0,61.175,S,First,man,True,E,Southampton
0,3,male,29.69911764705882,1,2,20.575,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,34.6542,C,First,man,True,A,Cherbourg
1,1,male,29.69911764705882,0,1,63.3583,C,First,man,True,D,Cherbourg
1,2,female,29.69911764705882,0,1,23.0,S,Second,woman,False,A,Southampton
0,2,male,29.69911764705882,1,0,26.0,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,0,0,7.8958,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,1,249.00622000000035,S,First,man,True,D,Southampton
0,3,male,29.69911764705882,0,0,8.6542,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,2,0,7.925,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.65,S,Third,woman,False,A,Southampton
1,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,False,A,Queenstown
0,1,male,29.69911764705882,0,0,52.0,S,First,man,True,C,Southampton
0,3,female,29.69911764705882,1,0,14.4542,C,Third,child,False,A,Cherbourg
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,1,0,9.825,S,Third,woman,False,A,Southampton
0,3,female,29.69911764705882,0,0,14.4583,C,Third,woman,False,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.925,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
0,2,male,29.69911764705882,1,0,21.0,S,Second,man,True,A,Southampton
0,1,male,29.69911764705882,0,1,249.00622000000035,C,First,man,True,B,Cherbourg
0,3,female,29.69911764705882,4,2,31.275,S,Third,child,False,A,Southampton
0,2,male,29.69911764705882,2,0,249.00622000000035,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,1,0,30.0708,C,Second,man,True,A,Cherbourg
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,E,Southampton
0,1,male,29.69911764705882,0,1,249.00622000000035,S,First,man,True,D,Southampton
1,3,male,29.69911764705882,1,0,11.2417,C,Third,child,False,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
1,3,male,29.69911764705882,0,0,7.1417,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,F,Cherbourg
0,3,male,29.69911764705882,0,0,6.975,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.05,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,1,0,14.5,S,Third,woman,False,A,Southampton
1,2,female,29.69911764705882,1,0,26.0,S,Second,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,15.0458,C,Second,man,True,A,Cherbourg
1,1,female,29.69911764705882,0,2,26.2833,S,First,woman,False,D,Southampton
0,1,male,29.69911764705882,1,0,53.1,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,0,0,9.2167,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,249.00622000000035,C,First,man,True,B,Cherbourg
0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,A,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,S,Third,woman,False,A,Southampton
1,3,female,29.69911764705882,1,0,15.85,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,6.75,Q,Third,man,True,A,Queenstown
0,2,male,29.69911764705882,0,0,11.5,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,1,1,36.75,S,Second,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,7.7958,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,2,2,34.375,S,Third,child,False,A,Southampton
0,2,male,29.69911764705882,0,2,26.0,S,Second,man,True,F,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,12.525,S,Second,man,True,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,2,14.5,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,1,61.3792,C,First,man,True,A,Cherbourg
1,3,female,29.69911764705882,0,0,7.7333,Q,Third,woman,False,A,Queenstown
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,8,2,249.00622000000035,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,1,16.1,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,15.75,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,4,1,39.6875,S,Third,child,False,A,Southampton
1,3,male,29.69911764705882,0,2,20.525,S,Third,child,False,A,Southampton
1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,E,Southampton
0,3,female,29.69911764705882,1,4,27.9,S,Third,woman,False,A,Southampton
0,1,male,29.69911764705882,0,0,25.925,S,First,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,56.4958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,33.5,S,First,man,True,B,Southampton
0,3,male,29.69911764705882,4,1,29.125,Q,Third,child,False,A,Queenstown
1,3,female,29.69911764705882,1,1,11.1333,S,Third,child,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.925,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,30.6958,C,First,man,True,A,Cherbourg
0,3,male,29.69911764705882,1,1,7.8542,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,A,Southampton
0,1,female,29.69911764705882,0,0,28.7125,C,First,woman,False,C,Cherbourg
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,0.0,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,8,2,249.00622000000035,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,A,Cherbourg
0,3,male,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
1,2,male,29.69911764705882,2,1,39.0,S,Second,child,False,F,Southampton
1,3,female,29.69911764705882,0,2,22.025,S,Third,child,False,A,Southampton
0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,A,Southampton
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,A,Queenstown
1,1,male,29.69911764705882,0,0,26.55,S,First,man,True,A,Southampton
0,3,male,29.69911764705882,1,1,15.5,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,1,0,7.8542,S,Third,woman,False,A,Southampton
1,2,male,29.69911764705882,1,1,26.0,S,Second,child,False,F,Southampton
1,1,female,29.69911764705882,0,0,27.7208,C,First,woman,False,B,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,B,Cherbourg
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,1,8.4042,S,Third,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,2,female,29.69911764705882,0,0,13.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,8,2,249.00622000000035,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,6.4958,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,A,Cherbourg
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,0,1,10.4625,S,Third,child,False,G,Southampton
0,3,male,29.69911764705882,1,0,15.85,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,18.7875,C,Third,man,True,A,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,male,29.69911764705882,0,0,31.0,C,First,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.05,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,0,21.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,A,Queenstown
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,D,Cherbourg
1,3,female,29.69911764705882,0,0,7.925,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,1,0,27.0,S,Second,man,True,A,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,D,Cherbourg
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,1,male,29.69911764705882,1,0,249.00622000000035,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,0,0,9.35,S,Third,man,True,A,Southampton
1,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,3,1,25.4667,S,Third,woman,False,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,C,Southampton
0,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,13.5,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,0,0,7.55,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,1,0,26.0,S,Second,man,True,A,Southampton
1,2,female,29.69911764705882,0,2,26.25,S,Second,child,False,A,Southampton
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,2,male,29.69911764705882,0,0,12.275,S,Second,man,True,A,Southampton
0,3,female,29.69911764705882,1,0,14.4542,C,Third,woman,False,A,Cherbourg
1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,A,Queenstown
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.125,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,A,Cherbourg
0,1,male,29.69911764705882,2,0,249.00622000000035,Q,First,man,True,C,Queenstown
0,3,female,29.69911764705882,0,0,7.775,S,Third,woman,False,A,Southampton
1,2,female,29.69911764705882,0,2,14.5,S,Second,woman,False,A,Southampton
1,1,male,29.69911764705882,1,1,52.5542,S,First,man,True,D,Southampton
0,2,male,29.69911764705882,1,0,26.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.25,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,1,1,10.4625,S,Third,woman,False,G,Southampton
0,1,male,29.69911764705882,0,0,26.55,S,First,man,True,C,Southampton
0,3,male,29.69911764705882,1,0,16.1,S,Third,man,True,A,Southampton
0,3,female,29.69911764705882,0,2,20.2125,S,Third,woman,False,A,Southampton
1,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,A,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,A,Cherbourg
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,B,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,C,First,woman,False,A,Cherbourg
1,2,female,29.69911764705882,0,1,26.0,S,Second,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
1,3,male,29.69911764705882,4,2,31.3875,S,Third,child,False,A,Southampton
0,1,male,29.69911764705882,1,1,249.00622000000035,S,First,man,True,E,Southampton
0,1,male,29.69911764705882,0,0,0.0,S,First,man,True,B,Southampton
0,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
0,2,male,29.69911764705882,0,0,10.5,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,4,1,39.6875,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,1,0,7.775,S,Third,man,True,A,Southampton
1,1,female,29.69911764705882,0,1,249.00622000000035,S,First,woman,False,C,Southampton
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,C,Southampton
0,1,male,29.69911764705882,0,0,31.0,S,First,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,0.0,S,Third,man,True,A,Southampton
1,2,female,29.69911764705882,0,1,19.5,S,Second,woman,False,A,Southampton
0,1,male,29.69911764705882,0,1,29.7,C,First,man,True,C,Cherbourg
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,female,29.69911764705882,1,0,249.00622000000035,S,First,woman,False,D,Southampton
0,3,female,29.69911764705882,0,0,7.75,S,Third,woman,False,A,Southampton
0,2,male,29.69911764705882,0,0,0.0,S,Second,man,True,A,Southampton
0,3,male,29.69911764705882,4,1,29.125,Q,Third,child,False,A,Queenstown
1,3,female,29.69911764705882,1,1,20.25,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,A,Queenstown
0,3,male,29.69911764705882,0,0,7.8542,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
1,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,26.0,S,First,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,8.6625,C,Third,man,True,A,Cherbourg
1,3,male,29.69911764705882,0,0,9.5,S,Third,man,True,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,A,Southampton
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,A,Queenstown
1,1,female,29.69911764705882,0,0,249.00622000000035,S,First,woman,False,A,Southampton
1,1,female,29.69911764705882,1,0,249.00622000000035,C,First,woman,False,B,Cherbourg
0,2,male,29.69911764705882,0,0,12.875,C,Second,man,True,D,Cherbourg
0,3,female,29.69911764705882,0,0,8.85,S,Third,woman,False,A,Southampton
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,A,Southampton
0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,A,Cherbourg
0,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,A,Cherbourg
